	Comparison	TP	TN	FP	FN	Sen	Spe	Acc
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize5	381	2122	1091	406	0.4841168996188056	0.6604419545596016	0.62575
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize5	358	2010	1203	429	0.4548919949174079	0.6255835667600373	0.592
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize20	328	2276	940	456	0.41836734693877553	0.7077114427860697	0.651
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize20	297	2225	991	487	0.3788265306122449	0.6918532338308457	0.6305
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize100	285	2419	800	496	0.3649167733674776	0.751475613544579	0.676
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize100	241	2425	794	540	0.3085787451984635	0.7533395464429947	0.6665
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize500	262	2510	712	516	0.33676092544987146	0.7790192427063936	0.693
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize500	218	2563	659	560	0.2802056555269923	0.7954686530105525	0.69525
