	ThScore	TP	TN	FP	FN	TPR	FPR
0	0.02083333333333333	1991	0	2009	0	1.0	1.0
1	0.022727272727272728	1991	1	2008	0	1.0	0.9995022399203584
2	0.023809523809523808	1991	2	2007	0	1.0	0.9990044798407167
3	0.027777777777777776	1991	3	2006	0	1.0	0.9985067197610752
4	0.028571428571428574	1990	7	2002	1	0.9994977398292315	0.9965156794425087
5	0.03333333333333333	1990	8	2001	1	0.9994977398292315	0.9960179193628671
6	0.03571428571428571	1990	13	1996	1	0.9994977398292315	0.993529118964659
7	0.037037037037037035	1990	14	1995	1	0.9994977398292315	0.9930313588850174
8	0.038461538461538464	1990	15	1994	1	0.9994977398292315	0.9925335988053758
9	0.04	1990	16	1993	1	0.9994977398292315	0.9920358387257342
10	0.04166666666666666	1990	17	1992	1	0.9994977398292315	0.9915380786460926
11	0.042857142857142864	1990	23	1986	1	0.9994977398292315	0.9885515181682429
12	0.04444444444444444	1990	24	1985	1	0.9994977398292315	0.9880537580886013
13	0.04444444444444445	1990	25	1984	1	0.9994977398292315	0.9875559980089597
14	0.045454545454545456	1990	27	1982	1	0.9994977398292315	0.9865604778496765
15	0.046875	1990	28	1981	1	0.9994977398292315	0.9860627177700348
16	0.047619047619047616	1990	31	1978	1	0.9994977398292315	0.98456943753111
17	0.05	1990	35	1974	1	0.9994977398292315	0.9825783972125436
18	0.05454545454545455	1990	45	1964	1	0.9994977398292315	0.9776007964161274
19	0.05555555555555555	1990	46	1963	1	0.9994977398292315	0.9771030363364858
20	0.05714285714285715	1990	57	1952	1	0.9994977398292315	0.971627675460428
21	0.0576923076923077	1990	62	1947	1	0.9994977398292315	0.96913887506222
22	0.06	1990	63	1946	1	0.9994977398292315	0.9686411149825784
23	0.0606060606060606	1990	64	1945	1	0.9994977398292315	0.9681433549029368
24	0.061224489795918366	1990	66	1943	1	0.9994977398292315	0.9671478347436535
25	0.0625	1990	67	1942	1	0.9994977398292315	0.966650074664012
26	0.06666666666666668	1990	77	1932	1	0.9994977398292315	0.9616724738675958
27	0.06818181818181819	1990	86	1923	1	0.9994977398292315	0.9571926331508213
28	0.07142857142857142	1990	87	1922	1	0.9994977398292315	0.9566948730711797
29	0.07407407407407407	1990	97	1912	1	0.9994977398292315	0.9517172722747635
30	0.075	1990	98	1911	1	0.9994977398292315	0.9512195121951219
31	0.07692307692307693	1990	100	1909	1	0.9994977398292315	0.9502239920358387
32	0.07936507936507936	1990	101	1908	1	0.9994977398292315	0.9497262319561971
33	0.08	1990	102	1907	1	0.9994977398292315	0.9492284718765555
34	0.08163265306122447	1990	106	1903	1	0.9994977398292315	0.947237431557989
35	0.08333333333333333	1990	108	1901	1	0.9994977398292315	0.9462419113987058
36	0.08571428571428573	1990	136	1873	1	0.9994977398292315	0.9323046291687407
37	0.08888888888888888	1990	138	1871	1	0.9994977398292315	0.9313091090094574
38	0.08888888888888889	1990	139	1870	1	0.9994977398292315	0.9308113489298159
