	Comparison	TP	TN	FP	FN	Sen	Spe	Acc
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize5	1390	1328	681	601	0.6981416373681567	0.6610253857640617	0.6795
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize5	1305	1092	917	686	0.6554495228528378	0.5435540069686411	0.59925
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize20	1253	1398	611	738	0.629331993972878	0.6958685913389746	0.66275
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize20	1131	1175	834	860	0.5680562531391261	0.584868093578895	0.5765
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize100	1179	1496	513	812	0.592164741336012	0.7446490791438527	0.66875
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize100	1009	1305	704	982	0.5067805123053741	0.6495769039323046	0.5785
0	None-P1-P5-P1P5_p1_vs_2_SelThr0_PopSize500	1115	1550	459	876	0.5600200904068308	0.7715281234444997	0.66625
1	None-P1-P5-P1P5_p1_vs_p5_SelThr0_PopSize500	943	1415	594	1048	0.47363134103465593	0.704330512692882	0.5895
